"id","name","family","claim","key_number","formula","evidence_grade","design_lever","anti_pattern","symptoms","applies_to","conflicts_with","ethics_axis","quote","source"
"reward-learning","Reward Learning","technique","Contingent, prompt reinforcement raises behaviour frequency, but extrinsic reward can reduce intrinsic motivation for an already-valued activity.","overjustification effect (Deci 1971; Deci, Koestner & Ryan 1999 meta-analysis)","","replicated","Reinforce behaviours that are effortful and unrewarding in themselves - expense reports, form completion, flossing - and run the removal test with a holdout after a month.","Do not reinforce a behaviour the user already enjoys. Remove the points later and behaviour drops below where it started, which is worse than never having added them.","should we add points and badges|engagement spiked then collapsed|users only do it for the reward|the streak matters more than the task","onboarding|dashboard|empty-state","gamification","persuasive","","behavioral-design/03-behavioural-design-toolbox-20-techniques.md#11-reinforcement-learning--technique"
"optimal-challenge","Optimal Challenge","technique","Difficulty must track rising skill, so a system with static difficulty falls out of the challenge-skill band by default.","productive success band roughly 60-85% per attempt - calibrate for your domain, do not assume","","heuristic","Ship a novice surface and an expert surface in the same product - command palette, bulk actions, raw query mode - so challenge can rise as the user's skill does.","Do not inflate difficulty to sell relief from it. That turns challenge tuning into manufactured frustration with a purchasable exit, which is a scarcity play in a difficulty costume.","experts find it tedious|new users are terrified|the tool is either too basic or too hard|power users have outgrown the UI","dashboard|onboarding|settings|search","","neutral","","behavioral-design/03-behavioural-design-toolbox-20-techniques.md#12-optimal-challenge--technique"
"cognitive-load-balancing","Cognitive Load Balancing","technique","Presenting information in small progressive fragments raises task performance, because only the extraneous share of load is reducible.","NASA-TLX for subjective load; help-seeking per step as the field proxy","","replicated","Map searches, doc opens and support contacts per step across the whole flow. The spike points straight at the screen carrying the extraneous load.","Do not strip germane load along with extraneous. An interface so frictionless that users build no mental model leaves them helpless the first time anything deviates.","users need training to use this|easy to start and impossible to master|too many concepts at once|the onboarding tour covers everything","onboarding|form|dashboard|settings","","protective","","behavioral-design/03-behavioural-design-toolbox-20-techniques.md#13-cognitive-load-balancing--technique"
"stimulus-devaluation","Stimulus Devaluation","technique","Inserting delay or friction between an action and its reward weakens the cue-action association that makes the behaviour automatic.","none; extrapolated from outcome-devaluation work (Adams & Dickinson 1981), which diagnoses habit rather than preventing it","","my-inference","State the inverted success metrics before you build: cue-to-action latency should lengthen and session frequency should fall, and say so to whoever owns the engagement dashboard.","Do not point this at a habit the user wants. Friction added to cancelling, exporting or switching is the same mechanism turned against the person it was meant to protect.","users say they open it compulsively|we want to reduce doomscrolling|the app is too sticky for its own good|people regret the time they spend here","notification|settings|dashboard","car-model","protective","","behavioral-design/03-behavioural-design-toolbox-20-techniques.md#14-stimulus-devaluation--technique"
"stopping-rules","Stopping Rules","technique","People consume until a stopping cue arrives, so removing the cue lets fatigue rather than intention govern how much they consume.","none; Simon satisficing plus the consumption-cue literature","","heuristic","Give every consumption surface a designed endpoint even if reaching it is optional: an end-of-feed marker, a caught-up state, a session summary, an episode limit.","Do not remove the endpoint and call it engagement. The harm is the absence of something, which makes it invisible in design review and unattributable in a changelog.","sessions run longer than users intend|the feed never ends|autoplay keeps rolling|users cannot tell when they are done","dashboard|search|notification","car-model","protective","","behavioral-design/03-behavioural-design-toolbox-20-techniques.md#15-stopping-rules--technique"
"choice-architecture","Choice Architecture","technique","The arrangement of options changes what people choose, and since no arrangement is neutral the default is the design decision.","opt-out organ-donation consent above 90% vs low teens for opt-in (Johnson & Goldstein 2003)","","replicated","Write the default-setting rationale down at review beside the counterfactual - what would the user have chosen with full attention - and prefer the weaker, more visible lever when unsure.","Do not launder a revenue decision with there is no neutral default. If opting out is materially harder than opting in that is sludge, and the click-count ratio is the evidence.","what should this toggle default to|the consent banner has one big accept button|users do not know what they agreed to|nobody changes the setting","settings|form|checkout|modal","","persuasive","","behavioral-design/03-behavioural-design-toolbox-20-techniques.md#16-choice-architecture--technique"
"ambient-communication","Ambient Communication","technique","State encoded in pre-attentive attributes can be read at a glance, at negligible attentional cost compared with text or numerals.","none; Weiser & Brown 1996, calm technology","","heuristic","Encode state in colour, size, orientation or closure and test with brief exposure: flash the display for a fixed short interval and score accuracy of state recall against the numeric equivalent.","Do not let an ambient display become a nag. A ring that shows state is calm; a ring that shows an unmet daily obligation is a recurring low-grade demand.","the dashboard needs to be readable at a glance|users miss the build status|the badge is permanently red|too many numbers to scan","dashboard|notification|nav","","protective","","behavioral-design/03-behavioural-design-toolbox-20-techniques.md#17-ambient-communication--technique"
"optimal-information-flow","Optimal Information Flow","technique","The same information in a different order produces a different load, because load depends on what must be held simultaneously.","none; Baymard checkout research attributes much cart abandonment to flow rather than price","","heuristic","Before deleting a field, reorder so each step is answerable with what the user knows at that moment, and use field-level abandonment to locate where the order broke.","Do not make the exit path longer than the entry path. If cancellation has more steps than signup, that asymmetry needs a justification that is not retention.","users abandon at one specific field|the checkout asks for things too early|the signup order feels wrong|people back up to fix an earlier answer","checkout|form|onboarding","","protective","","behavioral-design/03-behavioural-design-toolbox-20-techniques.md#18-optimal-information-flow--technique"
"personalisation","Personalisation","technique","A recommender trained on revealed preference amplifies whatever it observes, and its effect compounds as data accumulates.","none; offline metrics such as precision@k and NDCG measure agreement with historical behaviour","","contested","Run a random or popularity-ranked holdout so you learn what share of engagement the model actually produces, and expose the main inferences for the user to correct.","Do not pick engagement as the objective because it was the metric already available. The objective function is the most consequential decision in a personalised product and it is usually made by default.","recommendations feel narrow|users cannot change what they are shown|engagement is up but retention is flat|the empty state never improves","dashboard|search|empty-state|notification","","persuasive","","behavioral-design/03-behavioural-design-toolbox-20-techniques.md#19-personalisation--technique"
"gamification","Gamification","technique","Game elements raise engagement, but the behavioural effect is the smallest and least stable of the measured outcomes.","cognitive g=0.49, motivational g=0.36, behavioural g=0.25 (Sailer & Homner 2020)","","contested","Disaggregate before adopting: name which of progress, feedback, social comparison and loss aversion is doing the work, and check each would survive on its own.","Do not measure engagement with the game layer instead of progress on the real goal. Badges for logging in certify nothing, and the removal test tells you whether you built motivation or dependence.","should we gamify this|the leaderboard demotivates half the team|users chase points instead of the outcome|badges are not moving the real metric","onboarding|dashboard|empty-state","reward-learning","persuasive","","behavioral-design/03-behavioural-design-toolbox-20-techniques.md#20-gamification--technique"
